judge_model,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
google-gemma-4-E2B-it,1,1.0,0.5714285714285714,0.4285714285714286,0.5714285714285714,-0.27272727272727265,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0,1.0,0.0,0.0,1.0,601.1428571428571,556.0,931.5999999999999,0.0
google-gemma-4-E2B-it,2,1.0,0.75,0.25,0.75,-0.14285714285714285,0.75,1.0,0.8571428571428571,3,1,0,0,1.0,0.0,0.0,1.0,686.0,615.0,899.9999999999999,0.0
google-gemma-4-E2B-it,3,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,2,0,0,1.0,0.0,0.0,1.0,1020.5,1020.5,1106.45,0.0
google-gemma-4-E2B-it,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,707.0,707.0,707.0,0.0
google-gemma-4-E2B-it,7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,693.0,693.0,693.0,0.0
google-gemma-4-E2B-it,8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,837.0,837.0,837.0,0.0
google-gemma-4-E2B-it,16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,1271.0,1271.0,1271.0,0.0
google-gemma-4-E2B-it,18,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,1.0,1138.0,1138.0,1138.0,0.0
google-gemma-4-E2B-it,23,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,463.0,463.0,463.0,0.0
google-gemma-4-E2B-it,28,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,646.0,646.0,646.0,0.0
