judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,1,0.8387850467289719,0.6752336448598131,0.16355140186915884,0.8037383177570093,0.4665242165242165,0.7855153203342619,0.9757785467128027,0.8703703703703705,282,77,62,7,0.5539568345323741,0.02422145328719723,0.0,1.0,4087.9556074766356,3047.0,10450.6,0.0
gemma_3_12b,minimal,2,0.8761904761904762,0.8,0.07619047619047614,0.8761904761904762,0.5437834224598929,0.8858695652173914,0.9702380952380952,0.9261363636363638,163,21,21,5,0.5,0.02976190476190476,0.0,1.0,3883.9857142857145,3037.0,9782.5,0.0
gemma_3_12b,minimal,3,0.875,0.8020833333333334,0.07291666666666663,0.9270833333333334,0.7307152875175318,0.9166666666666666,1.0,0.9565217391304348,77,7,12,0,0.3684210526315789,0.0,0.0,1.0,3518.0208333333335,2868.0,7386.25,0.0
gemma_3_12b,minimal,4,0.8571428571428571,0.8571428571428571,0.0,0.8775510204081632,0.5,0.9285714285714286,0.9285714285714286,0.9285714285714286,39,3,4,3,0.42857142857142855,0.07142857142857142,0.0,1.0,4601.9795918367345,2951.0,11476.399999999989,0.0
gemma_3_12b,minimal,5,0.8,0.76,0.040000000000000036,0.96,0.8834498834498833,0.95,1.0,0.9743589743589743,19,1,5,0,0.16666666666666666,0.0,0.0,1.0,3527.96,2843.0,7042.399999999999,0.0
gemma_3_12b,minimal,6,0.8484848484848485,0.8181818181818182,0.030303030303030276,0.9696969696969697,0.890909090909091,0.9642857142857143,1.0,0.9818181818181818,27,1,5,0,0.16666666666666666,0.0,0.0,1.0,4287.0,2667.0,10415.199999999999,0.0
gemma_3_12b,minimal,7,0.896551724137931,0.896551724137931,0.0,1.0,1.0,1.0,1.0,1.0,26,0,3,0,0.0,0.0,0.0,1.0,2763.5172413793102,2839.0,3903.999999999999,0.0
gemma_3_12b,minimal,8,0.9354838709677419,0.9032258064516129,0.032258064516129004,0.9032258064516129,0.34736842105263194,0.9310344827586207,0.9642857142857143,0.9473684210526316,27,2,1,1,0.6666666666666666,0.03571428571428571,0.0,1.0,4684.709677419355,3191.0,13513.0,0.0
gemma_3_12b,minimal,9,0.9,0.85,0.050000000000000044,0.95,0.7714285714285712,0.9444444444444444,1.0,0.9714285714285714,17,1,2,0,0.3333333333333333,0.0,0.0,1.0,3869.4,3036.0,7653.850000000001,0.0
gemma_3_12b,minimal,10,0.95,0.9,0.04999999999999993,0.95,0.6396396396396391,0.9473684210526315,1.0,0.972972972972973,18,1,1,0,0.5,0.0,0.0,1.0,4412.95,3313.5,11943.45,0.0
gemma_3_12b,minimal,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,3219.4545454545455,2933.0,5631.0,0.0
gemma_3_12b,minimal,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,3321.846153846154,2482.0,6798.999999999994,0.0
gemma_3_12b,minimal,13,1.0,0.9285714285714286,0.0714285714285714,0.9285714285714286,-0.03703703703703835,0.9285714285714286,1.0,0.962962962962963,13,1,0,0,1.0,0.0,0.0,1.0,3686.5714285714284,3256.0,6774.249999999999,0.0
gemma_3_12b,minimal,14,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.9333333333333333,0.6296296296296295,0.9285714285714286,1.0,0.962962962962963,13,1,1,0,0.5,0.0,0.0,1.0,3809.0,2974.0,8003.599999999998,0.0
gemma_3_12b,minimal,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12,0,0,0,0.0,0.0,0.0,1.0,3603.75,2988.5,6764.2,0.0
gemma_3_12b,minimal,16,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.8333333333333334,0.5555555555555557,1.0,0.5,0.6666666666666666,1,0,4,1,0.0,0.5,0.0,1.0,3478.6666666666665,3815.0,4805.25,0.0
gemma_3_12b,minimal,17,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,3514.5454545454545,2479.0,7451.0,0.0
gemma_3_12b,minimal,18,0.9230769230769231,0.8461538461538461,0.07692307692307698,0.9230769230769231,0.6231884057971018,0.9166666666666666,1.0,0.9565217391304348,11,1,1,0,0.5,0.0,0.0,1.0,3239.923076923077,3046.0,5512.199999999998,0.0
gemma_3_12b,minimal,19,0.6,0.4,0.19999999999999996,0.8,0.6000000000000001,0.6666666666666666,1.0,0.8,2,1,2,0,0.3333333333333333,0.0,0.0,1.0,5213.6,2024.0,14915.799999999997,0.0
