ranking_name,judge_model,prompt_template,rank,metric_column,metric_value
primary_scotts_pi,gemma_4_26b,minimal,1,scotts_pi,0.8208079440306928
primary_scotts_pi,gemma_4_31b,minimal,2,scotts_pi,0.7908655440321998
primary_scotts_pi,gemma_3_27b,minimal,3,scotts_pi,0.7674396796669137
primary_scotts_pi,gemma_3_12b,minimal,4,scotts_pi,0.5929878029894756
percent_agreement,gemma_4_26b,minimal,1,percent_agreement,0.9420654911838791
percent_agreement,gemma_4_31b,minimal,2,percent_agreement,0.9332129963898917
percent_agreement,gemma_3_27b,minimal,3,percent_agreement,0.9225
percent_agreement,gemma_3_12b,minimal,4,percent_agreement,0.8857381150959133
absolute_score_gap,gemma_3_27b,minimal,1,score_delta,0.0008333333333333526
absolute_score_gap,gemma_4_26b,minimal,2,score_delta,0.009235936188077276
absolute_score_gap,gemma_4_31b,minimal,3,score_delta,0.019855595667869985
absolute_score_gap,gemma_3_12b,minimal,4,score_delta,0.08590492076730616
false_positive_rate,gemma_4_26b,minimal,1,fpr,0.16194331983805668
false_positive_rate,gemma_3_27b,minimal,2,fpr,0.18503937007874016
false_positive_rate,gemma_4_31b,minimal,3,fpr,0.20689655172413793
false_positive_rate,gemma_3_12b,minimal,4,fpr,0.47244094488188976
false_negative_rate,gemma_3_12b,minimal,1,fnr,0.01798941798941799
false_negative_rate,gemma_4_31b,minimal,2,fnr,0.02968036529680365
false_negative_rate,gemma_4_26b,minimal,3,fnr,0.03072033898305085
false_negative_rate,gemma_3_27b,minimal,4,fnr,0.048625792811839326
precision,gemma_4_26b,minimal,1,precision,0.9581151832460733
precision,gemma_3_27b,minimal,2,precision,0.9503695881731784
precision,gemma_4_31b,minimal,3,precision,0.9465478841870824
precision,gemma_3_12b,minimal,4,precision,0.8854961832061069
recall,gemma_3_12b,minimal,1,recall,0.982010582010582
recall,gemma_4_31b,minimal,2,recall,0.9703196347031964
recall,gemma_4_26b,minimal,3,recall,0.9692796610169492
recall,gemma_3_27b,minimal,4,recall,0.9513742071881607
f1,gemma_4_26b,minimal,1,f1,0.9636650868878357
f1,gemma_4_31b,minimal,2,f1,0.9582863585118377
f1,gemma_3_27b,minimal,3,f1,0.9508716323296355
f1,gemma_3_12b,minimal,4,f1,0.9312594079277472
