judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
llama_3_1_8b,minimal,1,0.7176470588235294,0.6776470588235294,0.040000000000000036,0.7858823529411765,0.49245739857350024,0.8229508196721311,0.8715277777777778,0.8465430016863408,251,54,83,37,0.39416058394160586,0.1284722222222222,0.007009345794392523,0.9929906542056075,608.6447058823529,380.0,800.7999999999988,0.0
llama_3_1_8b,minimal,2,0.7,0.8,-0.10000000000000009,0.7476190476190476,0.326984126984127,0.891156462585034,0.7797619047619048,0.8317460317460317,131,16,26,37,0.38095238095238093,0.22023809523809523,0.0,1.0,819.2380952380952,392.0,1066.1499999999987,0.0
llama_3_1_8b,minimal,3,0.7263157894736842,0.8,-0.0736842105263158,0.8210526315789474,0.5049808429118774,0.927536231884058,0.8421052631578947,0.882758620689655,64,5,14,12,0.2631578947368421,0.15789473684210525,0.010416666666666666,0.9895833333333334,1340.9157894736843,385.0,4367.199999999997,0.0
llama_3_1_8b,minimal,4,0.6938775510204082,0.8571428571428571,-0.16326530612244894,0.7551020408163265,0.2966507177033491,0.9411764705882353,0.7619047619047619,0.8421052631578947,32,2,5,10,0.2857142857142857,0.23809523809523808,0.0,1.0,476.0,379.0,799.5999999999998,0.0
llama_3_1_8b,minimal,5,0.52,0.76,-0.24,0.76,0.4791666666666667,1.0,0.6842105263157895,0.8125000000000001,13,0,6,6,0.0,0.3157894736842105,0.0,1.0,1528.88,391.0,3197.199999999999,0.0
llama_3_1_8b,minimal,6,0.7575757575757576,0.8181818181818182,-0.06060606060606066,0.8181818181818182,0.45604395604395614,0.92,0.8518518518518519,0.8846153846153846,23,2,4,4,0.3333333333333333,0.14814814814814814,0.0,1.0,863.6363636363636,364.0,1162.7999999999984,0.0
llama_3_1_8b,minimal,7,0.6551724137931034,0.896551724137931,-0.24137931034482762,0.7586206896551724,0.3059829059829057,1.0,0.7307692307692307,0.8444444444444443,19,0,3,7,0.0,0.2692307692307692,0.0,1.0,835.4137931034483,388.0,565.1999999999999,0.0
llama_3_1_8b,minimal,8,0.8,0.9,-0.09999999999999998,0.8333333333333334,0.34640522875817037,0.9583333333333334,0.8518518518518519,0.9019607843137256,23,1,2,4,0.3333333333333333,0.14814814814814814,0.03225806451612903,0.967741935483871,589.0,375.0,825.2999999999998,0.0
llama_3_1_8b,minimal,9,0.75,0.85,-0.09999999999999998,0.8,0.37499999999999983,0.9333333333333333,0.8235294117647058,0.8749999999999999,14,1,2,3,0.3333333333333333,0.17647058823529413,0.0,1.0,1719.7,388.0,9697.500000000005,0.0
llama_3_1_8b,minimal,10,0.6,0.9,-0.30000000000000004,0.7,0.19999999999999987,1.0,0.6666666666666666,0.8,12,0,2,6,0.0,0.3333333333333333,0.0,1.0,397.45,371.0,499.55000000000024,0.0
llama_3_1_8b,minimal,11,0.9090909090909091,1.0,-0.09090909090909094,0.9090909090909091,-0.047619047619050114,1.0,0.9090909090909091,0.9523809523809523,10,0,0,1,0.0,0.09090909090909091,0.0,1.0,1368.2727272727273,410.0,5672.5,0.0
llama_3_1_8b,minimal,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,1477.5384615384614,373.0,6815.3999999999905,0.0
llama_3_1_8b,minimal,13,0.8571428571428571,0.9285714285714286,-0.07142857142857151,0.9285714285714286,0.6266666666666668,1.0,0.9230769230769231,0.9600000000000001,12,0,1,1,0.0,0.07692307692307693,0.0,1.0,2042.4285714285713,382.5,8583.799999999992,0.0
llama_3_1_8b,minimal,14,0.7333333333333333,0.8666666666666667,-0.13333333333333341,0.8666666666666667,0.5833333333333333,1.0,0.8461538461538461,0.9166666666666666,11,0,2,2,0.0,0.15384615384615385,0.0,1.0,2416.0666666666666,388.0,10825.399999999976,0.0
llama_3_1_8b,minimal,15,0.9166666666666666,1.0,-0.08333333333333337,0.9166666666666666,-0.043478260869567936,1.0,0.9166666666666666,0.9565217391304348,11,0,0,1,0.0,0.08333333333333333,0.0,1.0,3259.5833333333335,367.0,17600.249999999996,0.0
llama_3_1_8b,minimal,16,0.2,0.4,-0.2,0.8,0.523809523809524,1.0,0.5,0.6666666666666666,1,0,3,1,0.0,0.5,0.16666666666666666,0.8333333333333334,376.6,388.0,423.4,0.0
llama_3_1_8b,minimal,17,0.9090909090909091,1.0,-0.09090909090909094,0.9090909090909091,-0.047619047619050114,1.0,0.9090909090909091,0.9523809523809523,10,0,0,1,0.0,0.09090909090909091,0.0,1.0,887.5454545454545,412.0,2947.0,0.0
llama_3_1_8b,minimal,18,0.7692307692307693,0.8461538461538461,-0.07692307692307687,0.7692307692307693,0.2571428571428571,0.9,0.8181818181818182,0.8571428571428572,9,1,1,2,0.5,0.18181818181818182,0.0,1.0,512.1538461538462,385.0,1128.9999999999975,0.0
llama_3_1_8b,minimal,19,0.4,0.4,0.0,1.0,1.0,1.0,1.0,1.0,2,0,3,0,0.0,0.0,0.0,1.0,392.0,403.0,417.4,0.0
llama_3_1_8b,minimal,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,413.1666666666667,333.5,704.5,0.0
llama_3_1_8b,minimal,21,0.75,0.8333333333333334,-0.08333333333333337,0.9166666666666666,0.7473684210526315,1.0,0.9,0.9473684210526316,9,0,2,1,0.0,0.1,0.0,1.0,364.4166666666667,349.5,437.59999999999997,0.0
llama_3_1_8b,minimal,22,0.9,0.8,0.09999999999999998,0.9,0.6078431372549022,0.8888888888888888,1.0,0.9411764705882353,8,1,1,0,0.5,0.0,0.0,1.0,1772.7,368.5,8107.899999999985,0.0
