ranking_name,judge_model,prompt_template,rank,metric_column,metric_value
primary_scotts_pi,gpt_5_4_mini,minimal,1,scotts_pi,0.7972964412856474
primary_scotts_pi,gpt_5_4_nano,minimal,2,scotts_pi,0.7148851638015724
primary_scotts_pi,gpt_4_1_mini,minimal,3,scotts_pi,0.6075830431658654
primary_scotts_pi,gpt_4_1_nano,minimal,4,scotts_pi,0.24290053928595864
percent_agreement,gpt_5_4_mini,minimal,1,percent_agreement,0.9333333333333333
percent_agreement,gpt_5_4_nano,minimal,2,percent_agreement,0.9041666666666667
percent_agreement,gpt_4_1_mini,minimal,3,percent_agreement,0.8816666666666667
percent_agreement,gpt_4_1_nano,minimal,4,percent_agreement,0.8148457047539617
absolute_score_gap,gpt_5_4_nano,minimal,1,score_delta,0.004166666666666652
absolute_score_gap,gpt_5_4_mini,minimal,2,score_delta,0.008333333333333304
absolute_score_gap,gpt_4_1_mini,minimal,3,score_delta,0.053333333333333344
absolute_score_gap,gpt_4_1_nano,minimal,4,score_delta,0.13844870725604674
false_positive_rate,gpt_5_4_mini,minimal,1,fpr,0.17716535433070865
false_positive_rate,gpt_5_4_nano,minimal,2,fpr,0.21653543307086615
false_positive_rate,gpt_4_1_mini,minimal,3,fpr,0.40551181102362205
false_positive_rate,gpt_4_1_nano,minimal,4,fpr,0.7637795275590551
false_negative_rate,gpt_4_1_nano,minimal,1,fnr,0.02962962962962963
false_negative_rate,gpt_5_4_mini,minimal,2,fnr,0.03699788583509514
false_negative_rate,gpt_4_1_mini,minimal,3,fnr,0.0412262156448203
false_negative_rate,gpt_5_4_nano,minimal,4,fnr,0.06342494714587738
precision,gpt_5_4_mini,minimal,1,precision,0.952928870292887
precision,gpt_5_4_nano,minimal,2,precision,0.9415515409139213
precision,gpt_4_1_mini,minimal,3,precision,0.898019801980198
precision,gpt_4_1_nano,minimal,4,precision,0.8253825382538253
recall,gpt_4_1_nano,minimal,1,recall,0.9703703703703703
recall,gpt_5_4_mini,minimal,2,recall,0.9630021141649049
recall,gpt_4_1_mini,minimal,3,recall,0.9587737843551797
recall,gpt_5_4_nano,minimal,4,recall,0.9365750528541226
f1,gpt_5_4_mini,minimal,1,f1,0.9579390115667719
f1,gpt_5_4_nano,minimal,2,f1,0.9390567037625861
f1,gpt_4_1_mini,minimal,3,f1,0.9274028629856851
f1,gpt_4_1_nano,minimal,4,f1,0.8920233463035019
