judge_model,metric,ci_low,ci_high,iterations
claude_opus_4_7,scotts_pi,0.8123097515802528,0.8809355804845486,200
claude_sonnet_4_6,scotts_pi,0.8248710261968251,0.8971330643023862,200
deepseek_v4_flash,scotts_pi,0.7317613874540941,0.8083293362211863,200
deepseek_v4_pro,scotts_pi,0.7609952663044245,0.8417218081867252,200
gemini_3_1_pro,scotts_pi,0.8426220083980533,0.9115830829259703,200
gemini_3_flash,scotts_pi,0.7524372325921167,0.8293157968675263,200
glm_5_1,scotts_pi,0.8367922470176884,0.9056163305483397,200
gpt_5_5,scotts_pi,0.8188748634567928,0.8950703050417483,200
gpt_oss_120b,scotts_pi,0.6725258724484882,0.7606328815479053,200
grok_4_3,scotts_pi,0.755920004222781,0.8328957776471523,200
k_exaone_236b_a23b,scotts_pi,0.5834254545958182,0.7649371379472635,200
kimi_k2_6,scotts_pi,0.8686535022877563,1.0,200
mimo_v2_5_pro,scotts_pi,0.6539978223124691,1.0,200
nemotron_3_super,scotts_pi,0.6503787323107593,0.7476443828090047,200
qwen_3_6_max,scotts_pi,0.7640883826498002,0.8503992558548267,200
qwen_3_6_plus,scotts_pi,0.7708009808599797,0.8468551945663195,200
solar_pro_3,scotts_pi,0.5690428093122339,0.6654912360942878,200
