judge_model,prompt_template,judge_score,human_score,score_delta,fpr,fnr
claude_opus_4_7,minimal,0.7608333333333334,0.7883333333333333,-0.02749999999999997,0.05905511811023622,0.0507399577167019
claude_sonnet_4_6,minimal,0.7783333333333333,0.7883333333333333,-0.010000000000000009,0.08661417322834646,0.035940803382663845
deepseek_v4_flash,minimal,0.7491666666666666,0.7883333333333333,-0.03916666666666668,0.10236220472440945,0.07716701902748414
deepseek_v4_pro,minimal,0.74,0.7883333333333333,-0.04833333333333334,0.05511811023622047,0.07610993657505286
gemini_3_1_pro,minimal,0.7816666666666666,0.7883333333333333,-0.00666666666666671,0.0984251968503937,0.03488372093023256
gemini_3_flash,minimal,0.8158333333333333,0.7883333333333333,0.02749999999999997,0.2204724409448819,0.024312896405919663
glm_5_1,minimal,0.775,0.7883333333333333,-0.013333333333333308,0.0984251968503937,0.04334038054968287
gpt_5_5,minimal,0.77,0.7883333333333333,-0.018333333333333313,0.07874015748031496,0.04439746300211417
gpt_oss_120b,minimal,0.7133333333333334,0.7883333333333333,-0.07499999999999996,0.06692913385826772,0.113107822410148
grok_4_3,minimal,0.7425,0.7883333333333333,-0.04583333333333328,0.06299212598425197,0.07505285412262157
nemotron_3_super,minimal,0.7308333333333333,0.7883333333333333,-0.057499999999999996,0.1220472440944882,0.10570824524312897
qwen_3_6_max,minimal,0.8108333333333333,0.7883333333333333,0.022499999999999964,0.1968503937007874,0.024312896405919663
qwen_3_6_plus,minimal,0.8133333333333334,0.7883333333333333,0.025000000000000022,0.2047244094488189,0.023255813953488372
solar_pro_3,minimal,0.7875,0.7883333333333333,-0.0008333333333333526,0.2992125984251969,0.08139534883720931
