judge_model,prompt_template,dataset,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
claude_opus_4_7,minimal,NQ,0.69,0.7366666666666667,-0.046666666666666745,0.9166666666666666,0.7962399478374265,0.9734299516908212,0.9117647058823529,0.941588785046729,403,11,147,39,0.06962025316455696,0.08823529411764706,0.0,1.0,1714.545,1465.0,2902.4999999999986,1.2518250000000002
claude_opus_4_7,minimal,TQ,0.8316666666666667,0.84,-0.008333333333333304,0.9783333333333334,0.9210490356342144,0.9919839679358717,0.9821428571428571,0.98703888334995,495,4,92,9,0.041666666666666664,0.017857142857142856,0.0,1.0,2695.2916666666665,1706.0,8468.749999999993,1.8146849999999999
claude_sonnet_4_6,minimal,NQ,0.72,0.7366666666666667,-0.01666666666666672,0.9233333333333333,0.806264126574104,0.9583333333333334,0.9366515837104072,0.9473684210526316,414,18,140,28,0.11392405063291139,0.06334841628959276,0.0,1.0,2566.923333333333,2345.5,4395.649999999999,0.709323
claude_sonnet_4_6,minimal,TQ,0.8366666666666667,0.84,-0.0033333333333332993,0.9833333333333333,0.9385132503945397,0.9920318725099602,0.9880952380952381,0.9900596421471173,498,4,92,6,0.041666666666666664,0.011904761904761904,0.0,1.0,2633.5666666666666,2347.0,4693.2499999999945,0.894039
deepseek_v4_flash,minimal,NQ,0.675,0.7366666666666667,-0.06166666666666665,0.875,0.6989875949443294,0.9530864197530864,0.8733031674208145,0.911452184179457,386,19,139,56,0.12025316455696203,0.12669683257918551,0.0,1.0,6254.68,3499.0,21549.699999999997,0.031156860000000005
deepseek_v4_flash,minimal,TQ,0.8233333333333334,0.84,-0.016666666666666607,0.96,0.8571400226194963,0.9858299595141701,0.9662698412698413,0.9759519038076153,487,7,89,17,0.07291666666666667,0.03373015873015873,0.0,1.0,5663.741666666667,3012.0,19133.449999999993,0.039089540000000006
deepseek_v4_pro,minimal,NQ,0.6633333333333333,0.7366666666666667,-0.07333333333333336,0.89,0.7380952380952381,0.9723618090452262,0.8755656108597285,0.9214285714285714,387,11,147,55,0.06962025316455696,0.1244343891402715,0.0,1.0,8963.055,6727.5,20456.14999999999,0.128199285
deepseek_v4_pro,minimal,TQ,0.8166666666666667,0.84,-0.023333333333333317,0.9666666666666667,0.8827918970131469,0.9938775510204082,0.9662698412698413,0.9798792756539236,487,3,93,17,0.03125,0.03373015873015873,0.0,1.0,7708.895,6631.0,15963.05,0.14962741400000001
gemini_3_1_pro,minimal,NQ,0.73,0.7366666666666667,-0.00666666666666671,0.9233333333333333,0.8039772727272728,0.952054794520548,0.9434389140271493,0.9477272727272728,417,21,137,25,0.13291139240506328,0.05656108597285068,0.0,1.0,4462.25,4104.0,6689.149999999999,1.617578
gemini_3_1_pro,minimal,TQ,0.8333333333333334,0.84,-0.006666666666666599,0.98,0.9268233189690218,0.992,0.9841269841269841,0.9880478087649401,496,4,92,8,0.041666666666666664,0.015873015873015872,0.0,1.0,4561.845,4143.0,6951.699999999999,1.50446
gemini_3_flash,minimal,NQ,0.7883333333333333,0.7366666666666667,0.05166666666666664,0.8983333333333333,0.7192982456140351,0.9027484143763214,0.9660633484162896,0.9333333333333333,427,46,112,15,0.2911392405063291,0.033936651583710405,0.0,1.0,1773.7183333333332,1672.0,2161.45,0.10002349999999999
gemini_3_flash,minimal,TQ,0.8433333333333334,0.84,0.0033333333333334103,0.97,0.8874413757165189,0.9802371541501976,0.9841269841269841,0.982178217821782,496,10,86,8,0.10416666666666667,0.015873015873015872,0.0,1.0,2010.1633333333334,1752.0,2485.449999999999,0.132616
glm_5_1,minimal,NQ,0.715,0.7366666666666667,-0.021666666666666723,0.915,0.7864314155200152,0.9557109557109557,0.9276018099547512,0.941446613088404,410,19,139,32,0.12025316455696203,0.07239819004524888,0.0,1.0,8875.21,6799.0,21476.34999999998,0.5801754000000001
glm_5_1,minimal,TQ,0.835,0.84,-0.0050000000000000044,0.975,0.9081515499425946,0.9880239520958084,0.9821428571428571,0.9850746268656716,495,6,90,9,0.0625,0.017857142857142856,0.0,1.0,8170.828333333333,6461.5,19120.199999999997,0.55836095
gpt_5_5,minimal,NQ,0.71,0.7366666666666667,-0.026666666666666727,0.9166666666666666,0.791793903725501,0.960093896713615,0.9253393665158371,0.9423963133640554,409,17,141,33,0.10759493670886076,0.0746606334841629,0.0,1.0,3795.1883333333335,3381.0,7691.599999999991,2.045775
gpt_5_5,minimal,TQ,0.83,0.84,-0.010000000000000009,0.98,0.9274178914897477,0.9939759036144579,0.9821428571428571,0.9880239520958084,495,3,93,9,0.03125,0.017857142857142856,0.0,1.0,4587.5633333333335,3616.5,9485.849999999939,1.96916
gpt_oss_120b,minimal,NQ,0.62,0.7366666666666667,-0.1166666666666667,0.8466666666666667,0.6486359180659699,0.9704301075268817,0.8167420814479638,0.8869778869778869,361,11,147,81,0.06962025316455696,0.1832579185520362,0.0,1.0,4635.213333333333,3350.5,11946.05,0.018413691000000003
gpt_oss_120b,minimal,TQ,0.8066666666666666,0.84,-0.033333333333333326,0.9466666666666667,0.8166679398059735,0.987603305785124,0.9484126984126984,0.9676113360323886,478,6,90,26,0.0625,0.051587301587301584,0.0,1.0,4395.908333333334,3311.5,11332.899999999998,0.019499528999999998
grok_4_3,minimal,NQ,0.6583333333333333,0.7366666666666667,-0.07833333333333337,0.8816666666666667,0.7195809512525055,0.9696202531645569,0.8665158371040724,0.915173237753883,383,12,146,59,0.0759493670886076,0.1334841628959276,0.0,1.0,5350.383333333333,4564.0,10307.999999999985,0.6479147000000001
