judge_model,prompt_template,human_label,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
claude_opus_4_7,minimal,False,0.05905511811023622,0.0,0.05905511811023622,0.9409448818897638,-0.030425963488844146,0.0,0.0,0.0,0,15,239,0,0.05905511811023622,0.0,0.0,1.0,2075.9370078740158,1664.0,4288.649999999998,0.6420250000000001
claude_opus_4_7,minimal,True,0.9492600422832981,1.0,-0.05073995771670192,0.9492600422832981,-0.02603036876356191,1.0,0.9492600422832981,0.9739696312364425,898,0,0,48,0.0,0.0507399577167019,0.0,1.0,2239.5496828752644,1521.0,6116.75,2.424485
claude_sonnet_4_6,minimal,False,0.08661417322834646,0.0,0.08661417322834646,0.9133858267716536,-0.045267489711933596,0.0,0.0,0.0,0,22,232,0,0.08661417322834646,0.0,0.0,1.0,2974.6259842519685,2709.0,5430.999999999999,0.403566
claude_sonnet_4_6,minimal,True,0.9640591966173362,1.0,-0.03594080338266381,0.9640591966173362,-0.01829924650161477,1.0,0.9640591966173362,0.9817007534983854,912,0,0,34,0.0,0.035940803382663845,0.0,1.0,2499.7241014799156,2249.5,4270.75,1.199796
deepseek_v4_flash,minimal,False,0.10358565737051793,0.0,0.10358565737051793,0.896414342629482,-0.054621848739496236,0.0,0.0,0.0,0,26,225,0,0.10358565737051793,0.0,0.011811023622047244,0.9881889763779528,6945.768924302789,3979.0,22171.5,0.016743720000000004
deepseek_v4_flash,minimal,True,0.9256900212314225,1.0,-0.07430997876857748,0.9256900212314225,-0.03858875413451028,1.0,0.9256900212314225,0.9614112458654906,872,0,0,70,0.0,0.07430997876857749,0.004228329809725159,0.9957716701902748,5611.394904458599,3068.5,19039.049999999996,0.05281962
deepseek_v4_pro,minimal,False,0.051587301587301584,0.0,0.051587301587301584,0.9484126984126984,-0.026476578411404134,0.0,0.0,0.0,0,13,239,0,0.051587301587301584,0.0,0.007874015748031496,0.9921259842519685,8932.480158730159,7493.0,18434.549999999996,0.061355444999999995
deepseek_v4_pro,minimal,True,0.9256110520722636,1.0,-0.07438894792773643,0.9256110520722636,-0.03863134657836701,1.0,0.9256110520722636,0.9613686534216336,871,0,0,70,0.0,0.07438894792773645,0.005285412262156448,0.9947145877378436,8128.1891604675875,6395.0,18102.0,0.213402764
gemini_3_1_pro,minimal,False,0.08264462809917356,0.0,0.08264462809917356,0.9173553719008265,-0.04310344827586258,0.0,0.0,0.0,0,20,222,0,0.08264462809917356,0.0,0.047244094488188976,0.952755905511811,4827.0413223140495,4427.0,6977.349999999999,0.737938
gemini_3_1_pro,minimal,True,0.9721030042918455,1.0,-0.027896995708154515,0.9721030042918455,-0.01414581066376562,1.0,0.9721030042918455,0.985854189336235,906,0,0,26,0.0,0.027896995708154508,0.014799154334038054,0.985200845665962,4334.655579399142,4029.5,5979.499999999998,2.194022
gemini_3_flash,minimal,False,0.2204724409448819,0.0,0.2204724409448819,0.7795275590551181,-0.12389380530973443,0.0,0.0,0.0,0,56,198,0,0.2204724409448819,0.0,0.0,1.0,2028.0275590551182,1799.5,2275.0499999999997,0.05584
gemini_3_flash,minimal,True,0.9756871035940803,1.0,-0.024312896405919715,0.9756871035940803,-0.012306046013912426,1.0,0.9756871035940803,0.9876939539860888,923,0,0,23,0.0,0.024312896405919663,0.0,1.0,1855.401691331924,1689.5,2224.5,0.1767995
glm_5_1,minimal,False,0.08264462809917356,0.0,0.08264462809917356,0.9173553719008265,-0.04310344827586258,0.0,0.0,0.0,0,20,222,0,0.08264462809917356,0.0,0.047244094488188976,0.952755905511811,9951.545454545454,8319.0,21231.549999999996,0.26218045
glm_5_1,minimal,True,0.9666666666666667,1.0,-0.033333333333333326,0.9666666666666667,-0.016949152542372135,1.0,0.9666666666666667,0.983050847457627,899,0,0,31,0.0,0.03333333333333333,0.016913319238900635,0.9830866807610994,7790.898924731183,6197.0,17632.25,0.80795295
gpt_5_5,minimal,False,0.07905138339920949,0.0,0.07905138339920949,0.9209486166007905,-0.04115226337448697,0.0,0.0,0.0,0,20,233,0,0.07905138339920949,0.0,0.003937007874015748,0.9960629921259843,5080.707509881423,4222.0,10133.599999999997,1.04691
gpt_5_5,minimal,True,0.9575821845174973,1.0,-0.042417815482502674,0.9575821845174973,-0.021668472372700424,1.0,0.9575821845174973,0.9783315276273024,903,0,0,40,0.0,0.042417815482502653,0.003171247357293869,0.9968287526427061,3929.4347826086955,3265.0,7781.6,2.9244450000000004
gpt_oss_120b,minimal,False,0.06719367588932806,0.0,0.06719367588932806,0.932806324110672,-0.03476482617586727,0.0,0.0,0.0,0,17,236,0,0.06719367588932806,0.0,0.003937007874015748,0.9960629921259843,4874.541501976285,3433.0,11932.399999999998,0.008021955
gpt_oss_120b,minimal,True,0.8867724867724868,1.0,-0.11322751322751323,0.8867724867724868,-0.06001121704991602,1.0,0.8867724867724868,0.939988782950084,838,0,0,107,0.0,0.11322751322751323,0.0010570824524312897,0.9989429175475687,4404.929100529101,3308.0,11414.599999999997,0.029775326999999997
grok_4_3,minimal,False,0.06299212598425197,0.0,0.06299212598425197,0.937007874015748,-0.03252032520325344,0.0,0.0,0.0,0,16,238,0,0.06299212598425197,0.0,0.0,1.0,6471.066929133858,5791.5,12103.699999999995,0.32244870000000003
grok_4_3,minimal,True,0.9249471458773785,1.0,-0.07505285412262153,0.9249471458773785,-0.038989566172430226,1.0,0.9249471458773785,0.9610104338275672,875,0,0,71,0.0,0.07505285412262157,0.0,1.0,5142.4989429175475,4372.5,10412.25,0.99430875
k_exaone_236b_a23b,minimal,False,0.18666666666666668,0.0,0.18666666666666668,0.8133333333333334,-0.10294117647058756,0.0,0.0,0.0,0,14,61,0,0.18666666666666668,0.0,0.038461538461538464,0.9615384615384616,24534.733333333334,21663.0,50138.399999999994,0.1494184
k_exaone_236b_a23b,minimal,True,0.9192708333333334,1.0,-0.08072916666666663,0.9192708333333334,-0.04206241519674341,1.0,0.9192708333333334,0.9579375848032564,353,0,0,31,0.0,0.08072916666666667,0.02040816326530612,0.9795918367346939,22583.486979166668,19617.0,48973.49999999997,0.7357672000000001
kimi_k2_6,minimal,False,0.06666666666666667,0.0,0.06666666666666667,0.9333333333333333,-0.03448275862068811,0.0,0.0,0.0,0,1,14,0,0.06666666666666667,0.0,0.53125,0.46875,15522.466666666667,12664.0,33814.899999999994,0.01743865
kimi_k2_6,minimal,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,153,0,0,0,0.0,0.0,0.1452513966480447,0.8547486033519553,12963.849673202614,9211.0,32491.000000000022,0.16712184999999996
mimo_v2_5_pro,minimal,False,0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,-0.047619047619050114,0.0,0.0,0.0,0,1,10,0,0.09090909090909091,0.0,0.65625,0.34375,9722.545454545454,9688.0,12749.0,0.0128436
mimo_v2_5_pro,minimal,True,0.9824561403508771,1.0,-0.01754385964912286,0.9824561403508771,-0.008849557522130222,1.0,0.9824561403508771,0.9911504424778761,112,0,0,2,0.0,0.017543859649122806,0.3595505617977528,0.6404494382022472,9757.535087719298,9490.0,13268.749999999998,0.1569782
nemotron_3_super,minimal,False,0.11952191235059761,0.0,0.11952191235059761,0.8804780876494024,-0.06355932203389875,0.0,0.0,0.0,0,30,221,0,0.11952191235059761,0.0,0.011811023622047244,0.9881889763779528,4606.565737051793,2852.0,13112.0,0.01647855
nemotron_3_super,minimal,True,0.8939554612937434,1.0,-0.10604453870625663,0.8939554612937434,-0.05599104143337177,1.0,0.8939554612937434,0.9440089585666294,843,0,0,100,0.0,0.10604453870625663,0.003171247357293869,0.9968287526427061,4007.5365853658536,2637.0,11741.599999999997,0.056785230000000006
qwen_3_6_max,minimal,False,0.1968503937007874,0.0,0.1968503937007874,0.8031496062992126,-0.10917030567685528,0.0,0.0,0.0,0,50,204,0,0.1968503937007874,0.0,0.0,1.0,31557.69291338583,26688.5,67146.79999999999,1.66034128
qwen_3_6_max,minimal,True,0.9756871035940803,1.0,-0.024312896405919715,0.9756871035940803,-0.012306046013912426,1.0,0.9756871035940803,0.9876939539860888,923,0,0,23,0.0,0.024312896405919663,0.0,1.0,19159.507399577167,17982.0,38189.0,3.9424684
qwen_3_6_plus,minimal,False,0.2047244094488189,0.0,0.2047244094488189,0.7952755905511811,-0.11403508771929731,0.0,0.0,0.0,0,52,202,0,0.2047244094488189,0.0,0.0,1.0,19829.32283464567,19177.0,36854.85,0.51747605
qwen_3_6_plus,minimal,True,0.9767441860465116,1.0,-0.023255813953488413,0.9767441860465116,-0.011764705882353396,1.0,0.9767441860465116,0.988235294117647,924,0,0,22,0.0,0.023255813953488372,0.0,1.0,10387.145877378436,8011.5,21439.0,0.940995575
solar_pro_3,minimal,False,0.2992125984251969,0.0,0.2992125984251969,0.7007874015748031,-0.1759259259259267,0.0,0.0,0.0,0,76,178,0,0.2992125984251969,0.0,0.0,1.0,872.5196850393701,757.5,1356.7499999999998,0.012187739999999999
