judge_model,prompt_template,model_family,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
claude_opus_4_7,minimal,openai_compatible,0.7608333333333334,0.7883333333333333,-0.02749999999999997,0.9475,0.849659795628799,0.9835706462212487,0.9492600422832981,0.9661108122646583,898,15,239,48,0.05905511811023622,0.0507399577167019,0.0,1.0,2204.9183333333335,1561.0,5882.149999999997,3.06651
claude_sonnet_4_6,minimal,openai_compatible,0.7783333333333333,0.7883333333333333,-0.010000000000000009,0.9533333333333334,0.8625204582651392,0.9764453961456103,0.9640591966173362,0.9702127659574469,912,22,232,34,0.08661417322834646,0.035940803382663845,0.0,1.0,2600.245,2345.5,4552.5,1.6033620000000002
deepseek_v4_flash,minimal,openai_compatible,0.7527242246437552,0.7896060352053647,-0.03688181056160944,0.9195305951383068,0.7720019111323461,0.9710467706013363,0.9256900212314225,0.9478260869565218,872,26,225,70,0.10358565737051793,0.07430997876857749,0.005833333333333334,0.9941666666666666,5892.139145012573,3210.0,20684.599999999988,0.06956334
deepseek_v4_pro,minimal,openai_compatible,0.740989103101425,0.7887678122380554,-0.047778709136630404,0.9304274937133278,0.8065704588186459,0.9852941176470589,0.9256110520722636,0.9545205479452056,871,13,239,70,0.051587301587301584,0.07438894792773645,0.005833333333333334,0.9941666666666666,8298.081307627828,6669.0,18213.0,0.27475820900000003
gemini_3_1_pro,minimal,openai_compatible,0.7887563884156729,0.7938671209540034,-0.005110732538330498,0.9608177172061328,0.881364644889172,0.978401727861771,0.9721030042918455,0.9752421959095803,906,20,222,26,0.08264462809917356,0.027896995708154508,0.021666666666666667,0.9783333333333334,4436.152470187393,4112.5,6647.499999999999,2.9319599999999997
gemini_3_flash,minimal,openai_compatible,0.8158333333333333,0.7883333333333333,0.02749999999999997,0.9341666666666667,0.7926452494873548,0.9427987742594485,0.9756871035940803,0.958961038961039,923,56,198,23,0.2204724409448819,0.024312896405919663,0.0,1.0,1891.9408333333333,1708.0,2246.05,0.2326395
glm_5_1,minimal,openai_compatible,0.7841296928327645,0.7935153583617748,-0.009385665529010323,0.9564846416382252,0.8693872199550944,0.9782372143634385,0.9666666666666667,0.9724175229853975,899,20,222,31,0.08264462809917356,0.03333333333333333,0.023333333333333334,0.9766666666666667,8237.039249146757,6478.0,18772.750000000004,1.0701334
gpt_5_5,minimal,openai_compatible,0.7717391304347826,0.7884615384615384,-0.01672240802675584,0.9498327759197325,0.8537772180993485,0.9783315276273022,0.9575821845174973,0.9678456591639871,903,20,233,40,0.07905138339920949,0.042417815482502653,0.0033333333333333335,0.9966666666666667,4172.973244147157,3487.5,8561.75,3.971355
gpt_oss_120b,minimal,openai_compatible,0.7136894824707847,0.7888146911519198,-0.07512520868113515,0.8964941569282137,0.7230574198359432,0.9801169590643275,0.8867724867724868,0.9311111111111111,838,17,236,107,0.06719367588932806,0.11322751322751323,0.0016666666666666668,0.9983333333333333,4504.104340567613,3335.5,11687.79999999998,0.037797281999999995
grok_4_3,minimal,openai_compatible,0.7425,0.7883333333333333,-0.04583333333333328,0.9275,0.7981108669146447,0.9820426487093153,0.9249471458773785,0.9526401741970605,875,16,238,71,0.06299212598425197,0.07505285412262157,0.0,1.0,5423.7125,4642.0,11107.05,1.31675745
k_exaone_236b_a23b,minimal,openai_compatible,0.7995642701525054,0.8366013071895425,-0.03703703703703709,0.9019607843137255,0.6706188156310549,0.9618528610354223,0.9192708333333334,0.9400798934753661,353,14,61,31,0.18666666666666668,0.08072916666666667,0.023404255319148935,0.9765957446808511,22902.31808278867,20033.0,49472.099999999984,0.8851856
kimi_k2_6,minimal,openai_compatible,0.9166666666666666,0.9107142857142857,0.005952380952380931,0.9940476190476191,0.9622599123890825,0.9935064935064936,1.0,0.9967426710097721,153,1,14,0,0.06666666666666667,0.0,0.2037914691943128,0.7962085308056872,13192.297619047618,9287.5,33610.00000000002,0.18456050000000002
mimo_v2_5_pro,minimal,openai_compatible,0.904,0.912,-0.008000000000000007,0.976,0.8563493583604671,0.9911504424778761,0.9824561403508771,0.9867841409691629,112,1,10,2,0.09090909090909091,0.017543859649122806,0.40476190476190477,0.5952380952380952,9754.456,9501.0,13175.199999999999,0.1698218
nemotron_3_super,minimal,openai_compatible,0.7311557788944724,0.7897822445561139,-0.058626465661641536,0.8911222780569514,0.7011413696435722,0.9656357388316151,0.8939554612937434,0.9284140969162995,843,30,221,100,0.11952191235059761,0.10604453870625663,0.005,0.995,4133.463149078727,2697.5,12249.299999999996,0.07326378
qwen_3_6_max,minimal,openai_compatible,0.8108333333333333,0.7883333333333333,0.022499999999999964,0.9391666666666667,0.8101922020629682,0.9486125385405961,0.9756871035940803,0.9619593538301198,923,50,204,23,0.1968503937007874,0.024312896405919663,0.0,1.0,21783.79,19525.0,47497.649999999994,5.60280968
qwen_3_6_plus,minimal,openai_compatible,0.8133333333333334,0.7883333333333333,0.025000000000000022,0.9383333333333334,0.806686723644739,0.9467213114754098,0.9767441860465116,0.9614984391259105,924,52,202,22,0.2047244094488189,0.023255813953488372,0.0,1.0,12385.74,9588.0,28557.49999999998,1.458471625
solar_pro_3,minimal,openai_compatible,0.7875,0.7883333333333333,-0.0008333333333333526,0.8725,0.6185010373821194,0.9195767195767196,0.9186046511627907,0.919090428344791,869,76,178,77,0.2992125984251969,0.08139534883720931,0.0,1.0,834.1291666666667,725.5,1330.0,0.06018777
