judge_model,prompt_template,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
claude_opus_4_7,minimal,0.7608333333333334,0.7883333333333333,-0.02749999999999997,0.9475,0.849659795628799,0.9835706462212487,0.9492600422832981,0.9661108122646583,898,15,239,48,0.05905511811023622,0.0507399577167019,0.0,1.0,2204.9183333333335,1561.0,5882.149999999997,3.06651
claude_sonnet_4_6,minimal,0.7783333333333333,0.7883333333333333,-0.010000000000000009,0.9533333333333334,0.8625204582651392,0.9764453961456103,0.9640591966173362,0.9702127659574469,912,22,232,34,0.08661417322834646,0.035940803382663845,0.0,1.0,2600.245,2345.5,4552.5,1.6033620000000002
deepseek_v4_flash,minimal,0.7491666666666666,0.7883333333333333,-0.03916666666666668,0.9175,0.7679630850362557,0.9710789766407119,0.9228329809725159,0.9463414634146341,873,26,228,73,0.10236220472440945,0.07716701902748414,0.0,1.0,5959.2108333333335,3213.5,20750.399999999994,0.07024640000000001
deepseek_v4_pro,minimal,0.74,0.7883333333333333,-0.04833333333333334,0.9283333333333333,0.801164497844022,0.9842342342342343,0.9238900634249472,0.9531079607415486,874,14,240,72,0.05511811023622047,0.07610993657505286,0.0,1.0,8335.975,6683.5,18281.95,0.277826699
gemini_3_1_pro,minimal,0.7816666666666666,0.7883333333333333,-0.00666666666666671,0.9516666666666667,0.8568113365921098,0.9733475479744137,0.9651162790697675,0.9692144373673037,913,25,229,33,0.0984251968503937,0.03488372093023256,0.0,1.0,4512.0475,4133.0,6788.549999999999,3.122038
gemini_3_flash,minimal,0.8158333333333333,0.7883333333333333,0.02749999999999997,0.9341666666666667,0.7926452494873548,0.9427987742594485,0.9756871035940803,0.958961038961039,923,56,198,23,0.2204724409448819,0.024312896405919663,0.0,1.0,1891.9408333333333,1708.0,2246.05,0.2326395
glm_5_1,minimal,0.775,0.7883333333333333,-0.013333333333333308,0.945,0.8388645648529435,0.9731182795698925,0.9566596194503171,0.9648187633262261,905,25,229,41,0.0984251968503937,0.04334038054968287,0.0,1.0,8523.019166666667,6589.5,20525.599999999995,1.1385363499999999
gpt_5_5,minimal,0.77,0.7883333333333333,-0.018333333333333313,0.9483333333333334,0.8498637877106247,0.9783549783549783,0.9556025369978859,0.9668449197860961,904,20,234,42,0.07874015748031496,0.04439746300211417,0.0,1.0,4191.3758333333335,3497.5,8602.699999999993,4.0149349999999995
gpt_oss_120b,minimal,0.7133333333333334,0.7883333333333333,-0.07499999999999996,0.8966666666666666,0.7238297098355968,0.9801401869158879,0.8868921775898521,0.9311875693673697,839,17,237,107,0.06692913385826772,0.113107822410148,0.0,1.0,4515.560833333333,3335.5,11818.449999999999,0.03791322
grok_4_3,minimal,0.7425,0.7883333333333333,-0.04583333333333328,0.9275,0.7981108669146447,0.9820426487093153,0.9249471458773785,0.9526401741970605,875,16,238,71,0.06299212598425197,0.07505285412262157,0.0,1.0,5423.7125,4642.0,11107.05,1.31675745
nemotron_3_super,minimal,0.7308333333333333,0.7883333333333333,-0.057499999999999996,0.8908333333333334,0.701104032718841,0.9646522234891676,0.8942917547568711,0.9281404278661547,846,31,223,100,0.1220472440944882,0.10570824524312897,0.0,1.0,4153.82,2700.5,12309.449999999993,0.07403661
qwen_3_6_max,minimal,0.8108333333333333,0.7883333333333333,0.022499999999999964,0.9391666666666667,0.8101922020629682,0.9486125385405961,0.9756871035940803,0.9619593538301198,923,50,204,23,0.1968503937007874,0.024312896405919663,0.0,1.0,21783.79,19525.0,47497.649999999994,5.60280968
qwen_3_6_plus,minimal,0.8133333333333334,0.7883333333333333,0.025000000000000022,0.9383333333333334,0.806686723644739,0.9467213114754098,0.9767441860465116,0.9614984391259105,924,52,202,22,0.2047244094488189,0.023255813953488372,0.0,1.0,12385.74,9588.0,28557.49999999998,1.458471625
solar_pro_3,minimal,0.7875,0.7883333333333333,-0.0008333333333333526,0.8725,0.6185010373821194,0.9195767195767196,0.9186046511627907,0.919090428344791,869,76,178,77,0.2992125984251969,0.08139534883720931,0.0,1.0,834.1291666666667,725.5,1330.0,0.06018777
