judge_model,reference_order_consistency,label_flip_rate_by_reference_order,eligible_sample_groups,skipped_single_alias_groups,coverage,rows,valid_rows
claude_opus_4_7,,,772,428,0.6433333333333333,0,0
claude_sonnet_4_6,,,772,428,0.6433333333333333,0,0
deepseek_v4_flash,,,772,428,0.6433333333333333,0,0
deepseek_v4_pro,,,772,428,0.6433333333333333,0,0
gemini_3_1_pro,,,772,428,0.6433333333333333,0,0
gemini_3_flash,,,772,428,0.6433333333333333,0,0
glm_5_1,,,772,428,0.6433333333333333,0,0
gpt_5_5,,,772,428,0.6433333333333333,0,0
gpt_oss_120b,,,772,428,0.6433333333333333,0,0
grok_4_3,,,772,428,0.6433333333333333,0,0
nemotron_3_super,,,772,428,0.6433333333333333,0,0
qwen_3_6_max,,,772,428,0.6433333333333333,0,0
qwen_3_6_plus,,,772,428,0.6433333333333333,0,0
solar_pro_3,,,772,428,0.6433333333333333,0,0
