judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
solar_pro_3_tuned,guideline_with_examples,1,0.6214285714285714,0.6833333333333333,-0.06190476190476191,0.9,0.7795220477952205,0.9693486590038314,0.8815331010452961,0.9233576642335767,253,8,125,34,0.06015037593984962,0.11846689895470383,0.018691588785046728,0.9813084112149533,5206.302380952381,2104.0,15711.449999999983,0.17653407
solar_pro_3_tuned,guideline_with_examples,2,0.642512077294686,0.8019323671497585,-0.1594202898550725,0.8115942028985508,0.5304347826086958,0.9774436090225563,0.7831325301204819,0.8695652173913042,130,3,38,36,0.07317073170731707,0.21686746987951808,0.014285714285714285,0.9857142857142858,6294.053140096618,2367.0,33148.199999999895,0.10470041999999999
solar_pro_3_tuned,guideline_with_examples,3,0.6770833333333334,0.8020833333333334,-0.125,0.875,0.6754929577464788,1.0,0.8441558441558441,0.9154929577464789,65,0,19,12,0.0,0.15584415584415584,0.0,1.0,7105.625,2254.5,41171.0,0.05412708
solar_pro_3_tuned,guideline_with_examples,4,0.7755102040816326,0.8571428571428571,-0.08163265306122447,0.8367346938775511,0.45555555555555555,0.9473684210526315,0.8571428571428571,0.9,36,2,5,6,0.2857142857142857,0.14285714285714285,0.0,1.0,4917.2040816326535,2557.0,9079.399999999994,0.019513620000000002
solar_pro_3_tuned,guideline_with_examples,5,0.64,0.76,-0.12,0.88,0.7142857142857143,1.0,0.8421052631578947,0.9142857142857143,16,0,6,3,0.0,0.15789473684210525,0.0,1.0,7923.96,3487.0,38966.599999999904,0.01647315
solar_pro_3_tuned,guideline_with_examples,6,0.6666666666666666,0.8181818181818182,-0.1515151515151516,0.8484848484848485,0.603841536614646,1.0,0.8148148148148148,0.8979591836734693,22,0,6,5,0.0,0.18518518518518517,0.0,1.0,3557.787878787879,2034.0,11636.799999999997,0.00985083
solar_pro_3_tuned,guideline_with_examples,7,0.7931034482758621,0.896551724137931,-0.10344827586206895,0.896551724137931,0.6054421768707482,1.0,0.8846153846153846,0.9387755102040816,23,0,3,3,0.0,0.11538461538461539,0.0,1.0,8363.48275862069,2552.0,42448.399999999914,0.02030664
solar_pro_3_tuned,guideline_with_examples,8,0.8064516129032258,0.9032258064516129,-0.09677419354838712,0.9032258064516129,0.610062893081761,1.0,0.8928571428571429,0.9433962264150945,25,0,3,3,0.0,0.10714285714285714,0.0,1.0,2696.516129032258,2001.0,5692.5,0.007018859999999999
solar_pro_3_tuned,guideline_with_examples,9,0.85,0.85,0.0,0.9,0.6078431372549022,0.9411764705882353,0.9411764705882353,0.9411764705882353,16,1,2,1,0.3333333333333333,0.058823529411764705,0.0,1.0,6353.85,2166.0,13645.850000000044,0.01054455
solar_pro_3_tuned,guideline_with_examples,10,0.631578947368421,0.8947368421052632,-0.26315789473684215,0.7368421052631579,0.272030651340996,1.0,0.7058823529411765,0.8275862068965517,12,0,2,5,0.0,0.29411764705882354,0.05,0.95,2743.0,2062.0,7189.599999999999,0.0043265099999999996
